GeoAreaCode;GeoAreaName;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;LATEST
120;Cameroon;;1.4;;;;;;;;;;;;;;;1.4
140;Central African Republic;;;;;;;;24.2;;;;;;;;;24.2
148;Chad;;;;;;;;;;;;;38.4;;;;38.4
204;Benin;;;;;;;;;;;;9.2;;;;;9.2
231;Ethiopia;;;;;;;;;;;;;;65.2;;;65.2
232;Eritrea;;;;;;;;83.0;;;;;;;;;83.0
262;Djibouti;;;;93.1;;;;;;;;;;;;;93.1
270;Gambia;;;;;;;;;;;74.9;;;;;;74.9
288;Ghana;;;;;;;;;3.8;;;;;;;;3.8
324;Guinea;;;;;;;;;;;;;;96.8;;;96.8
368;Iraq;;;;;;;;;;;;;;;;7.4;7.4
384;C̫te d'Ivoire;;;;;;;;;;;;;;36.7;;;36.7
404;Kenya;;;;;;;;;;;;21;;;;;21
430;Liberia;;;;;;;;;;;44.4;;;;;;44.4
466;Mali;;;;;;;;;;;;;82.7;;;;82.7
478;Mauritania;;;;;;;;;;;;;66.6;;;;66.6
562;Niger;;;;;;;;;;2.0;;;;;;;2.0
566;Nigeria;;;;;;;;;;;;;;;18.4;;18.4
624;Guinea-Bissau;;;;;;;;;;;;44.9;;;;;44.9
686;Senegal;;;;;;;;;;;;;;;24.0;;24.0
694;Sierra Leone;;;;;;;;;;;;;;;86.1;;86.1
706;Somalia;;;;97.9;;;;;;;;;;;;;97.9
729;Sudan;;;;;;;;;;;;86.6;;;;;86.6
768;Togo;;;;;;;;;;;;4.7;;;;;4.7
800;Uganda;;;;;;;;;;;;;;0.3;;;0.3
818;Egypt;;;;;;;;;;;;;87.2;;;;87.2
834;Tanzania;;;;;;;;;;;;;;10;;;10
854;Burkina Faso;;;;;;;;75.8;;;;;;;;;75.8
